task,interrupt,measure,mean,std,count
LD,rest,post,0.9790573051504142,0.016849585141125792,15
LD,rest,pre,0.9763772742339424,0.01896761473972627,15
LD,tiktok,post,0.9807955214711562,0.02075248019904113,15
LD,tiktok,pre,0.9775351912597992,0.02284372230270296,15
LD,twitter,post,0.9795780922431866,0.010940894266528306,15
LD,twitter,pre,0.9887499674466451,0.009797040985844083,15
LD,youtube,post,0.911328170621649,0.24684544535275812,15
LD,youtube,pre,0.9128742447003549,0.24947407207734237,15
PM,rest,post,0.9433899433899434,0.15790962416470428,15
PM,rest,pre,0.8961677211677213,0.1227346530570318,15
PM,tiktok,post,0.4870462870462871,0.194512911067529,15
PM,tiktok,pre,0.8012820512820513,0.19293864995189494,15
PM,twitter,post,0.9761904761904762,0.03485357403387618,15
PM,twitter,pre,0.8655677655677656,0.05935470888199651,15
PM,youtube,post,0.8285714285714286,0.28673287819891397,15
PM,youtube,pre,0.8291208791208792,0.18922797500749428,15
