folder_id,task,interrupt,measure,n_trials,accuracy
101,LD,rest,post,160,0.99375
101,LD,rest,pre,159,0.9685534591194969
101,PM,rest,post,14,1.0
101,PM,rest,pre,14,0.9285714285714286
102,LD,rest,post,160,0.96875
102,LD,rest,pre,159,0.9622641509433962
102,PM,rest,post,14,1.0
102,PM,rest,pre,14,0.5
103,LD,rest,post,160,0.9875
103,LD,rest,pre,160,0.9875
103,PM,rest,post,14,1.0
103,PM,rest,pre,14,0.9285714285714286
104,LD,rest,post,160,1.0
104,LD,rest,pre,160,0.99375
104,PM,rest,post,14,1.0
104,PM,rest,pre,14,0.9285714285714286
105,LD,rest,post,160,0.99375
105,LD,rest,pre,160,0.9875
105,PM,rest,post,14,1.0
105,PM,rest,pre,14,0.9285714285714286
106,LD,rest,post,159,0.9937106918238994
106,LD,rest,pre,160,0.975
106,PM,rest,post,14,0.9285714285714286
106,PM,rest,pre,14,0.9285714285714286
107,LD,rest,post,160,0.98125
107,LD,rest,pre,160,1.0
107,PM,rest,post,14,1.0
107,PM,rest,pre,13,0.8461538461538461
108,LD,rest,post,160,0.9875
108,LD,rest,pre,160,0.9875
108,PM,rest,post,14,1.0
108,PM,rest,pre,14,0.9285714285714286
109,LD,rest,post,159,0.9685534591194969
109,LD,rest,pre,160,0.96875
109,PM,rest,post,14,1.0
109,PM,rest,pre,14,0.8571428571428571
110,LD,rest,post,160,0.96875
110,LD,rest,pre,156,0.967948717948718
110,PM,rest,post,12,0.8333333333333334
110,PM,rest,pre,13,0.7692307692307693
111,LD,rest,post,160,1.0
111,LD,rest,pre,158,0.9936708860759493
111,PM,rest,post,14,1.0
111,PM,rest,pre,14,0.9285714285714286
112,LD,rest,post,160,0.975
112,LD,rest,pre,160,0.9875
112,PM,rest,post,14,0.9285714285714286
112,PM,rest,pre,14,0.9285714285714286
113,LD,rest,post,160,0.975
113,LD,rest,pre,160,0.99375
113,PM,rest,post,14,1.0
113,PM,rest,pre,14,0.9285714285714286
114,LD,rest,post,160,0.95625
114,LD,rest,pre,160,0.975
114,PM,rest,post,14,0.35714285714285715
114,PM,rest,pre,14,0.42857142857142855
115,LD,rest,post,154,0.948051948051948
115,LD,rest,pre,159,0.9685534591194969
115,PM,rest,post,14,1.0
115,PM,rest,pre,13,0.9230769230769231
201,LD,tiktok,post,159,0.9874213836477987
201,LD,tiktok,pre,160,0.99375
201,PM,tiktok,post,14,0.42857142857142855
201,PM,tiktok,pre,14,0.8571428571428571
202,LD,tiktok,post,160,0.9875
202,LD,tiktok,pre,160,0.96875
202,PM,tiktok,post,14,0.7142857142857143
202,PM,tiktok,pre,14,0.7142857142857143
203,LD,tiktok,post,160,0.98125
203,LD,tiktok,pre,160,0.99375
203,PM,tiktok,post,13,0.5384615384615384
203,PM,tiktok,pre,14,0.9285714285714286
204,LD,tiktok,post,160,0.975
204,LD,tiktok,pre,157,0.9936305732484076
204,PM,tiktok,post,14,0.6428571428571429
204,PM,tiktok,pre,14,0.9285714285714286
205,LD,tiktok,post,159,0.9811320754716981
205,LD,tiktok,pre,160,0.99375
205,PM,tiktok,post,14,0.5
205,PM,tiktok,pre,14,0.9285714285714286
206,LD,tiktok,post,160,0.9875
206,LD,tiktok,pre,158,0.9810126582278481
206,PM,tiktok,post,14,0.2857142857142857
206,PM,tiktok,pre,14,0.35714285714285715
207,LD,tiktok,post,160,0.99375
207,LD,tiktok,pre,160,0.99375
207,PM,tiktok,post,14,0.6428571428571429
207,PM,tiktok,pre,14,0.9285714285714286
208,LD,tiktok,post,160,0.96875
208,LD,tiktok,pre,160,0.95625
208,PM,tiktok,post,14,0.5714285714285714
208,PM,tiktok,pre,14,0.7857142857142857
209,LD,tiktok,post,160,0.99375
209,LD,tiktok,pre,160,0.9875
209,PM,tiktok,post,14,0.2857142857142857
209,PM,tiktok,pre,14,0.9285714285714286
210,LD,tiktok,post,160,1.0
210,LD,tiktok,pre,160,0.9875
210,PM,tiktok,post,14,0.2857142857142857
210,PM,tiktok,pre,14,0.9285714285714286
211,LD,tiktok,post,159,0.9308176100628931
211,LD,tiktok,pre,159,0.9308176100628931
211,PM,tiktok,post,13,0.23076923076923078
211,PM,tiktok,pre,14,0.7142857142857143
212,LD,tiktok,post,160,0.9875
212,LD,tiktok,pre,160,0.99375
212,PM,tiktok,post,13,0.5384615384615384
212,PM,tiktok,pre,14,0.8571428571428571
213,LD,tiktok,post,159,0.9937106918238994
213,LD,tiktok,pre,160,0.9625
213,PM,tiktok,post,14,0.2857142857142857
213,PM,tiktok,pre,13,0.7692307692307693
214,LD,tiktok,post,160,1.0
214,LD,tiktok,pre,159,0.9937106918238994
214,PM,tiktok,post,13,0.38461538461538464
214,PM,tiktok,pre,14,0.35714285714285715
215,LD,tiktok,post,157,0.9554140127388535
215,LD,tiktok,pre,159,0.9559748427672956
215,PM,tiktok,post,14,0.9285714285714286
215,PM,tiktok,pre,14,0.7857142857142857
