parameter,contrast,kind,t,df,p_raw,p_holm
drift,rest: pre vs post,within,-1.6356293457052287,14,0.12419269829188291,0.7451561897512975
drift,tiktok: pre vs post,within,3.7977722569675945,14,0.0019594092658055387,0.01959409265805539
drift,twitter: pre vs post,within,-1.4453243132268265,14,0.1703778988787536,0.851889494393768
drift,youtube: pre vs post,within,-0.7274644016000815,14,0.47893142374888553,1.0
drift,rest vs tiktok (post),between,2.2465877558256664,28,0.03273665091301521,0.2618932073041217
drift,rest vs twitter (post),between,-0.06385581576759038,28,0.949538735732842,1.0
drift,rest vs youtube (post),between,0.2599313129425983,28,0.796818612929929,1.0
drift,tiktok vs twitter (post),between,-2.53891921892443,28,0.016960119944446652,0.15264107950001987
drift,tiktok vs youtube (post),between,-1.7372984927562314,28,0.09332458310079315,0.6532720817055521
drift,twitter vs youtube (post),between,0.3338390537057228,28,0.7409884222782297,1.0
noise,rest: pre vs post,within,0.6408403570249838,14,0.5319769124085367,1.0
noise,tiktok: pre vs post,within,-3.502420183017428,14,0.0035182460159015865,0.03518246015901587
noise,twitter: pre vs post,within,2.3704312099600426,14,0.03266495615244006,0.27632504604970953
noise,youtube: pre vs post,within,1.177321990750325,14,0.25869498930343116,1.0
noise,rest vs tiktok (post),between,-1.593538600950791,28,0.12226697751242478,0.7336018650745487
noise,rest vs twitter (post),between,0.4875366549163204,28,0.62967365450646,1.0
noise,rest vs youtube (post),between,0.12661920473269342,28,0.9001466909375084,1.0
noise,tiktok vs twitter (post),between,2.27585754795685,28,0.030702782894412167,0.27632504604970953
noise,tiktok vs youtube (post),between,1.782351743329867,28,0.08553996485268259,0.5987797539687781
noise,twitter vs youtube (post),between,-0.3661085875936954,28,0.7170358158330798,1.0
bound,rest: pre vs post,within,-2.748972348049245,14,0.01567658312070756,0.1567658312070756
bound,tiktok: pre vs post,within,1.2231663878494863,14,0.24145721557002442,1.0
bound,twitter: pre vs post,within,-0.18633929102309732,14,0.8548518022647636,1.0
bound,youtube: pre vs post,within,0.5859543161033063,14,0.5672333485056172,1.0
bound,rest vs tiktok (post),between,2.1267944846416587,28,0.042385038969759384,0.38146535072783444
bound,rest vs twitter (post),between,0.9301046612723578,28,0.36026705365131756,1.0
bound,rest vs youtube (post),between,1.9623923206257792,28,0.05972409508634927,0.4777927606907942
bound,tiktok vs twitter (post),between,-0.8816519421361395,28,0.3854711250053172,1.0
bound,tiktok vs youtube (post),between,-0.15401476845325135,28,0.8787028177719505,1.0
bound,twitter vs youtube (post),between,0.7418577116361619,28,0.4643513229873915,1.0
nondectime,rest: pre vs post,within,0.8733555140724972,14,0.3972026099608098,1.0
nondectime,tiktok: pre vs post,within,-3.103071064777843,14,0.007784758625397244,0.07784758625397244
nondectime,twitter: pre vs post,within,-1.061218691105306,14,0.30655540815075766,1.0
nondectime,youtube: pre vs post,within,0.9285009073348255,14,0.3688804429837906,1.0
nondectime,rest vs tiktok (post),between,-1.0410810767088623,28,0.3067443467087399,1.0
nondectime,rest vs twitter (post),between,-0.19928659799532503,28,0.8434787118661966,1.0
nondectime,rest vs youtube (post),between,0.14419284526938206,28,0.8863810278476518,1.0
nondectime,tiktok vs twitter (post),between,0.9557738441689801,28,0.3473662869504,1.0
nondectime,tiktok vs youtube (post),between,1.3769716610787648,28,0.17943127809733686,1.0
nondectime,twitter vs youtube (post),between,0.38642886341763855,28,0.7021001253669634,1.0
