task,parameter,effect,method,shapiro_p,df1,df2,F,p,effect_size,effect_size_kind
PM,drift,interrupt,ART,0.00015486235155794028,3,56,4.078378970154928,0.010878887255287543,0.13338800676320908,partial omega^2
PM,drift,measure,ART,0.00015486235155794028,1,56,2.4197126996675524,0.12545081832812227,0.023114935535594537,partial omega^2
PM,drift,interaction,ART,0.00015486235155794028,3,56,6.466313803910754,0.00077668307382325,0.21464880414185877,partial omega^2
PM,noise,interrupt,ART,0.009886982744326638,3,56,4.232688213966396,0.009118644784235796,0.13914395889938627,partial omega^2
PM,noise,measure,ART,0.009886982744326638,1,56,12.592673429823,0.0007921830235921868,0.1619254160299858,partial omega^2
PM,noise,interaction,ART,0.009886982744326638,3,56,4.712466830753608,0.005294134820219435,0.15656181439287317,partial omega^2
PM,bound,interrupt,ART,1.4254286119688755e-07,3,56,3.2208160570881845,0.029400455179274025,0.09994304670821348,partial omega^2
PM,bound,measure,ART,1.4254286119688755e-07,1,56,0.02394280350048264,0.877586883610985,-0.016536631579306002,partial omega^2
PM,bound,interaction,ART,1.4254286119688755e-07,3,56,2.233239412564345,0.09435750938679446,0.058080606006571014,partial omega^2
PM,nondectime,interrupt,ART,0.00012177394927828092,3,56,1.6947155543831869,0.178563953017411,0.03356970781055479,partial omega^2
PM,nondectime,measure,ART,0.00012177394927828092,1,56,15.8513386067777,0.0001994363640914893,0.19841112908878464,partial omega^2
PM,nondectime,interaction,ART,0.00012177394927828092,3,56,2.6923844612694556,0.054765574887909556,0.07801744728852257,partial omega^2
LD,drift,interrupt,mixed ANOVA,0.27757168692449263,3,56,2.5199474174699383,0.0671637506143368,0.11894054460343141,partial eta^2
LD,drift,measure,mixed ANOVA,0.27757168692449263,1,56,1.0331607217004641,0.313788957976431,0.018115087935278298,partial eta^2
LD,drift,interaction,mixed ANOVA,0.27757168692449263,3,56,0.7846401343835908,0.5075284921341353,0.04033868481994355,partial eta^2
LD,noise,interrupt,ART,0.024496475920193505,3,56,1.6145905252998962,0.19624429987053507,0.02981337536370761,partial omega^2
LD,noise,measure,ART,0.024496475920193505,1,56,1.5909277672775088,0.2124227453172553,0.009752743340507866,partial omega^2
LD,noise,interaction,ART,0.024496475920193505,3,56,0.6970970223140773,0.5577349328687349,-0.015378051767870953,partial omega^2
LD,bound,interrupt,ART,2.2684025167636912e-07,3,56,1.8118738843076598,0.15548577967797134,0.03901012896872395,partial omega^2
LD,bound,measure,ART,2.2684025167636912e-07,1,56,0.06893595727750808,0.7938558779684721,-0.01576232968536792,partial omega^2
LD,bound,interaction,ART,2.2684025167636912e-07,3,56,0.39848866987159043,0.7545997955393463,-0.031008154313724244,partial omega^2
LD,nondectime,interrupt,ART,7.412481280807246e-09,3,56,1.5168034332042866,0.22013733721452147,0.025189276433184256,partial omega^2
LD,nondectime,measure,ART,7.412481280807246e-09,1,56,0.6074471212881134,0.439032083025611,-0.0065856348102465686,partial omega^2
LD,nondectime,interaction,ART,7.412481280807246e-09,3,56,0.6360988655521843,0.5948906186923375,-0.01853225210055401,partial omega^2
