task,parameter,effect,method,shapiro_p,df1,df2,F,p,effect_size,effect_size_kind
PM,drift,interrupt,ART,1.0549773618159454e-05,3,56,5.259278941640246,0.002876465558966738,0.17557318797012283,partial omega^2
PM,drift,measure,ART,1.0549773618159454e-05,1,56,1.3554933890135332,0.2492562348118937,0.005889992261719186,partial omega^2
PM,drift,interaction,ART,1.0549773618159454e-05,3,56,5.855741641276981,0.0014965023931263715,0.19535694051523436,partial omega^2
PM,noise,interrupt,ART,0.01156861515959555,3,56,7.987514576731674,0.00016036456725371714,0.25891656517181577,partial omega^2
PM,noise,measure,ART,0.01156861515959555,1,56,4.826913704713115,0.032173135287847814,0.059957680586246606,partial omega^2
PM,noise,interaction,ART,0.01156861515959555,3,56,6.2347495484464295,0.0009944810306884973,0.20744210432509344,partial omega^2
PM,bound,interrupt,ART,6.300329128153767e-08,3,56,0.9477364541274242,0.4238517527007236,-0.0026200238805421856,partial omega^2
PM,bound,measure,ART,6.300329128153767e-08,1,56,5.7961673043592,0.01938106287320661,0.07401930552204952,partial omega^2
PM,bound,interaction,ART,6.300329128153767e-08,3,56,0.7134613123032748,0.5480682937965472,-0.014535178939778317,partial omega^2
PM,nondectime,interrupt,ART,0.00018963068892242953,3,56,1.6579637679100738,0.18647169835202354,0.031850368957087136,partial omega^2
PM,nondectime,measure,ART,0.00018963068892242953,1,56,15.515831057702957,0.00022903276635285975,0.19480197498518548,partial omega^2
PM,nondectime,interaction,ART,0.00018963068892242953,3,56,2.5969912155161157,0.061307758356490445,0.07394507871859368,partial omega^2
LD,drift,interrupt,mixed ANOVA,0.15840840350492386,3,56,3.4160656178140227,0.023401680746082835,0.15469397417885497,partial eta^2
LD,drift,measure,mixed ANOVA,0.15840840350492386,1,56,3.4835444535021307,0.06722123595302125,0.05856316205610768,partial eta^2
LD,drift,interaction,mixed ANOVA,0.15840840350492386,3,56,0.6565455403908138,0.5822405478952275,0.03397703929117031,partial eta^2
LD,noise,interrupt,ART,0.010006239473947087,3,56,1.213158996976192,0.3134210122729767,0.010545555843501737,partial omega^2
LD,noise,measure,ART,0.010006239473947087,1,56,4.140406224193445,0.04661582572229474,0.049736870761375285,partial omega^2
LD,noise,interaction,ART,0.010006239473947087,3,56,1.3654491484579498,0.2627320579000302,0.017944566102811497,partial omega^2
LD,bound,interrupt,ART,9.052998191093174e-08,3,56,1.3984659640880077,0.2528164814358756,0.01953411422160454,partial omega^2
LD,bound,measure,ART,9.052998191093174e-08,1,56,0.2997468784476869,0.5862166820841,-0.01180870338262469,partial omega^2
LD,bound,interaction,ART,9.052998191093174e-08,3,56,0.708856921652593,0.550775157706666,-0.01477219503418033,partial omega^2
LD,nondectime,interrupt,ART,6.530349905507918e-09,3,56,1.5268189081826746,0.21756629992904575,0.02566490748221426,partial omega^2
LD,nondectime,measure,ART,6.530349905507918e-09,1,56,0.5220205764378817,0.47298766235297324,-0.008030295660885697,partial omega^2
LD,nondectime,interaction,ART,6.530349905507918e-09,3,56,0.7001049538579185,0.5559484494906701,-0.015223017686682544,partial omega^2
